datetime,Unnamed: 0,open,high,low,close,volume,HA_close,HA_open,HA_high,HA_low,RSI,MACD,MACD_Signal,MACD_Hist,ema_05,ema_10,ema_30,ATR,signals,trade_type
2019-10-27,49,9234.75,9803.83,9066.07,9533.32,163544.019,9409.4925,8941.11,9803.83,8941.11,66.0793868379082,-34.202206942467456,-206.78658285894704,172.5843759164796,8689.253760088162,8415.046254739145,8460.008065467802,621.2929573140854,0,Hold
2019-10-28,50,9534.37,9930.13,9156.03,9217.36,155599.975,9459.4725,9384.035,9930.13,9156.03,66.62184408181636,54.91576314687154,-154.44611365778334,209.36187680465488,8945.993340058776,8604.941935695664,8524.489641889235,632.2077460773647,1,Buy
2019-10-29,51,9215.78,9569.1,9070.0,9415.02,124703.014,9317.475,9375.865000000002,9569.1,9070.0,63.51412831667175,112.78427802430997,-101.00003532136469,213.78431334567466,9069.820560039185,8734.493401932816,8575.6499875738,622.7000499289816,0,Hold
2019-10-30,52,9415.02,9418.65,8975.72,9165.3,98464.858,9243.6725,9315.400000000001,9418.65,8975.72,61.89799827134065,150.9501882214554,-50.60999061280067,201.56017883425608,9127.77120669279,8827.071419763211,8618.748214181944,609.8593320769115,0,Hold
2019-10-31,53,9163.4,9438.64,8933.0,9150.0,98836.044,9171.26,9290.16,9438.64,8933.0,60.277355471788006,173.35552882353113,-5.816886725534317,179.17241554906545,9142.267471128527,8889.651161624446,8654.394135847626,602.4150940714179,0,Hold
2019-11-01,54,9149.88,9280.0,9050.27,9231.01,87256.949,9177.789999999999,9156.7,9280.0,9050.27,60.378102048411755,189.45492070466207,33.237474760504966,156.2174459441571,9154.108314085684,8942.040041329092,8688.161610954232,575.7947302091737,0,Hold
2019-11-02,55,9231.7,9375.0,9194.98,9287.8,56602.055,9272.369999999999,9190.445,9375.0,9190.445,61.88591828752373,207.45421724167863,68.0808232567397,139.37339398493893,9193.528876057124,9002.100033814711,8725.852474763637,548.7529637656614,0,Hold
2019-11-03,56,9288.96,9366.69,9073.0,9197.88,75612.722,9231.6325,9259.75,9366.69,9073.0,60.812459302713165,215.94236447447838,97.65313150028746,118.28923297419092,9206.230084038083,9043.833209484763,8758.483444133726,530.5341806395428,0,Hold
2019-11-04,57,9197.86,9550.0,9126.01,9395.46,90433.357,9317.3325,9243.419999999998,9550.0,9126.01,62.294202291169135,226.9682078679889,123.51614677382776,103.45206109416114,9243.264222692056,9093.560353214805,8794.53822193155,522.9238820224326,0,Hold
2019-11-05,58,9395.47,9457.13,9164.33,9313.2,113738.226,9332.532500000001,9296.66,9457.13,9164.33,62.56457020168814,234.23269248834004,145.65945591673022,88.57323657160981,9273.020315128038,9137.009834448478,8829.247530194032,506.48646187797306,0,Hold
2019-11-06,59,9313.1,9450.0,9259.48,9343.6,73767.911,9341.545,9354.335,9450.0,9259.48,62.73519112303827,237.97386770384765,164.12233827415372,73.85152942969393,9295.861876752027,9174.198046366935,8862.298979858933,483.9174288866893,0,Hold
2019-11-07,60,9344.29,9381.93,9091.2,9219.64,77389.569,9259.265,9328.35,9381.93,9091.2,60.04454426800611,231.62938825498532,177.62374827032005,54.005639984665265,9283.662917834685,9189.66476520931,8887.909690835777,470.1183268233543,0,Hold
2019-11-08,61,9221.63,9259.3,8669.85,8775.03,151851.16,8981.4525,9281.965,9281.965,8669.85,51.94385722092757,201.85731018815386,182.47046065388682,19.386849534267043,9182.92611188979,9151.807989716708,8893.944710781856,480.2609463359718,-1,Sell
2019-11-09,62,8775.6,8878.0,8727.0,8811.15,66846.392,8797.9375,8998.33,8998.33,8727.0,47.395162536608076,161.5918665723966,178.2947418375888,-16.702875265192176,9054.596574593194,9087.467900677306,8887.750697183028,465.3373073119738,0,Hold
2019-11-10,63,8811.3,9187.0,8760.0,9041.31,91099.197,8949.9025,8793.375,9187.0,8760.0,51.20563600852541,140.32592793814365,170.70097905769978,-30.375051119556133,9019.698549728797,9062.456009645068,8891.760490913157,462.5989282182614,0,Hold
2019-11-11,64,9041.31,9072.91,8611.11,8728.93,113373.762,8863.565,8926.305,9072.91,8611.11,49.0325432841985,115.17810219406238,159.59640368497233,-44.418301490909954,8967.654033152532,9026.294007891418,8889.941426983276,462.5418619169569,0,Hold
2019-11-12,65,8729.89,8889.06,8552.12,8817.0,107520.546,8747.0175,8885.119999999999,8889.06,8552.12,46.18327467582452,84.86558228409558,144.650239404797,-59.78465712070141,8894.108522101687,8975.51646100207,8880.720528468226,453.57030035145993,0,Hold
2019-11-13,66,8817.94,8838.0,8712.0,8774.76,58585.811,8785.675000000001,8773.445,8838.0,8712.0,47.27763253819619,63.23311702946012,128.36681492972963,-65.13369790026951,8857.964014734458,8940.999831728965,8874.58855888963,430.1724217549271,0,Hold
2019-11-14,67,8774.78,8798.06,8581.39,8642.25,87099.995,8699.119999999999,8796.35,8798.06,8581.39,45.06783798697067,38.659326678623984,110.4253172795085,-71.76599060088452,8805.016009822972,8897.021680505515,8863.268006703203,414.9222487724323,0,Hold
2019-11-15,68,8642.47,8780.0,8380.0,8473.27,145602.497,8568.935000000001,8708.515,8780.0,8380.0,41.89592387285067,8.580666698013374,90.0563871632095,-81.47572046519612,8726.322339881983,8837.36955677724,8844.278780464289,413.8563738601157,0,Hold
2019-11-16,69,8473.3,8540.54,8435.0,8491.06,48657.04,8484.975,8557.869999999999,8557.869999999999,8435.0,39.94340198133145,-21.78068418933617,67.68897289270036,-89.46965708203653,8645.873226587988,8773.297819181376,8821.097891402076,393.86199001296467,0,Hold
2019-11-17,70,8491.18,8631.0,8355.78,8504.04,72152.266,8495.5,8482.18,8631.0,8355.78,40.31888940388563,-44.48025329834854,45.25512765449058,-89.73538095283912,8595.748817725325,8722.789124784762,8800.09157582775,385.38756215489576,0,Hold
2019-11-18,71,8504.13,8504.71,8050.0,8183.26,123477.142,8310.525,8497.61,8504.71,8050.0,36.05263022213583,-76.51375897294929,20.901350329002604,-97.4151093019519,8500.674211816884,8647.832011187533,8768.506635451766,390.33916485811744,0,Hold
2019-11-19,72,8183.3,8212.87,8000.0,8131.7,110854.03,8131.967500000001,8343.695,8343.695,8000.0,32.479878663360026,-114.98318639353056,-6.275557015504031,-108.70762937802652,8377.77197454459,8554.03846369889,8727.439594454878,387.00743879682335,0,Hold
2019-11-20,73,8131.12,8230.0,8037.5,8094.05,87352.38,8123.1675,8157.5,8230.0,8037.5,32.30994035985887,-144.51469578123942,-33.92338476865111,-110.5913110125883,8292.903816363061,8475.69828848091,8688.454298038434,373.114050311336,0,Hold
2019-11-21,74,8094.57,8131.51,7432.0,7621.9,180289.189,7819.995000000001,8112.585,8131.51,7432.0,27.05754827287616,-190.18972797068272,-65.17665340905744,-125.01307456162529,8135.267544242041,8356.479508757107,8632.424665906923,396.42804671766913,0,Hold
2019-11-22,75,7621.89,7765.03,6762.73,7262.72,371213.951,7353.092500000001,7858.235,7858.235,6762.73,21.311637473906927,-261.0533887690144,-104.35200048104883,-156.70138828796559,7874.5425294946945,8174.045507164906,8549.887106816155,446.3621148092642,0,Hold
2019-11-23,76,7261.89,7345.84,7073.38,7305.99,139643.311,7246.775,7442.305,7442.305,7073.38,20.256756209548215,-322.07955163073893,-147.89751071098686,-174.18204091975207,7665.286686329797,8005.450869498559,8465.815357989308,440.8308923228882,0,Hold
2019-11-24,77,7306.19,7324.92,6855.91,6900.86,183676.078,7096.97,7283.9400000000005,7324.92,6855.91,18.841580621071785,-378.17190656079947,-193.9523898809494,-184.21951667985007,7475.847790886532,7840.27252958973,8377.502754248062,442.8436857283962,0,Hold
2019-11-25,78,6899.77,7386.29,6510.19,7102.03,333987.914,6974.57,7103.525,7386.29,6510.19,17.750419601084772,-427.5733594939147,-240.67658380354248,-186.89677569037224,7308.755193924355,7682.872069664323,8286.990963651413,473.7905653192251,0,Hold
2019-11-26,79,7103.34,7340.06,7011.9,7150.0,193962.094,7151.325000000001,7000.9,7340.06,7000.9,24.546031526669395,-447.30545669799176,-282.00235838243236,-165.3030983155594,7256.278462616237,7586.227147907173,8213.722191802935,466.0548106535662,0,Hold
2019-11-27,80,7149.97,7669.2,6850.0,7506.77,297842.994,7293.985,7126.67,7669.2,6850.0,29.601631124869627,-446.28729403226225,-314.85934551239836,-131.4279485198639,7268.8473084108255,7533.092211924051,8154.384308460812,491.27946703545433,0,Hold
2019-11-28,81,7506.78,7643.0,7356.0,7415.79,175000.609,7480.3925,7328.370000000001,7643.0,7328.370000000001,35.667166119010645,-425.533579191223,-336.9941922481633,-88.5393869430597,7339.362372273884,7523.510446119678,8110.900965979469,481.1177193900648,0,Hold
2019-11-29,82,7417.0,7850.0,7394.57,7736.66,185819.186,7599.5575,7461.285,7850.0,7394.57,39.26949552631843,-394.91812079221927,-348.57897795697454,-46.33914283524473,7426.094081515923,7537.337183188827,8077.9110649485365,479.28288229077447,0,Hold
2019-11-30,83,7737.23,7800.0,7444.18,7542.93,141966.392,7631.085,7576.83,7800.0,7444.18,40.22318937375437,-363.9161448865352,-351.64641134288667,-12.269733543648556,7494.4243876772825,7554.382240790858,8049.083576887341,470.4641049842906,0,Hold
2019-12-01,84,7541.08,7541.08,7222.29,7387.38,196291.252,7422.9575,7640.08,7640.08,7222.29,36.18358944548619,-352.0824185229758,-351.7336127789045,-0.34880574407128506,7470.602091784856,7530.486833374338,8008.688346120417,466.7016689139841,0,Hold
2019-12-02,85,7388.0,7416.75,7137.74,7291.0,143966.953,7308.3724999999995,7464.23,7464.23,7137.74,34.15012256327897,-347.9393289957088,-350.97475602226535,3.0354270265565333,7416.525561189905,7490.102409124458,7963.506678628778,456.68654970584237,0,Hold
2019-12-03,86,7291.74,7404.42,7231.35,7290.86,84699.47,7304.592500000001,7339.5,7404.42,7231.35,34.082076935801396,-341.0297365855058,-348.98575213491347,7.9560155494076525,7379.214540793271,7456.373334738193,7920.99608645918,436.42822472685356,0,Hold
2019-12-04,87,7290.85,7800.0,7070.0,7191.0,274879.481,7337.9625,7291.299999999999,7800.0,7070.0,35.307569040861154,-329.06786519192246,-345.0021747463153,15.934309554392826,7365.463860528847,7434.844092058522,7883.38101636504,457.397637246364,0,Hold
2019-12-05,88,7189.42,7480.0,7142.54,7384.99,176315.108,7299.237499999999,7240.925,7480.0,7142.54,34.50585462292888,-319.03514127738435,-339.80876805252916,20.773626775144805,7343.388407019232,7410.188348047881,7845.694337889877,448.83066315733805,0,Hold
2019-12-06,89,7384.66,7602.44,7295.73,7522.1,136218.707,7451.2325,7287.205,7602.44,7287.205,40.241401566488044,-295.41405967736137,-330.9298263774956,35.515766700134236,7379.336438012821,7417.6509211300845,7820.245187058272,439.28811578895676,0,Hold
2019-12-07,90,7521.13,7616.91,7467.44,7487.2,83208.782,7523.17,7453.38,7616.91,7453.38,42.79480001430365,-267.80236828501074,-318.30433475899866,50.50196647398792,7427.280958675215,7436.836208197341,7801.079045957738,419.74450037545984,0,Hold
