datetime,Unnamed: 0,open,high,low,close,volume,signals,HA_close,HA_open,HA_high,HA_low,RSI,MACD,MACD_Signal,MACD_Hist,ema_10,ema_30,ema_200,ema_20,ATR,ADX,ADX_Pos,ADX_Neg,PSAR,trade_type
2019-10-16,38,8160.55,8184.0,7900.24,7992.21,70434.452,0,8059.25,8253.16,8253.16,7900.24,31.198870724278777,-289.7855022232088,-357.8449204820616,68.05941825885276,8263.696145166141,8666.026755855373,,8440.78613028571,377.89374014447213,63.35859003365238,8.028100873631718,26.78743288372959,8788.0,
2019-10-17,39,7994.76,8124.63,7930.0,8069.2,58354.602,0,8029.6475,8076.38,8124.63,7930.0,30.56961422809259,-288.9053425180864,-344.0570048892666,55.15166237118018,8221.141846045024,8624.970029671156,,8401.6300702585,364.80347299129556,62.681696102534865,7.721483500902757,25.764340072335084,8770.2448,
2019-10-18,40,8069.41,8117.3,7812.0,7943.94,75251.352,0,7985.662499999999,8031.98,8117.3,7812.0,29.613863167928102,-288.43216505660166,-332.93203692273363,44.49987186613197,8178.327419491383,8583.7243825956,,8362.014111186261,360.5532249204888,62.281463030561575,7.253497251007163,26.54534922189167,8752.844704000001,
2019-10-19,41,7945.57,8108.54,7852.12,7947.13,78024.395,0,7963.34,8006.674999999999,8108.54,7852.12,29.116338623704777,-286.55517798499386,-323.6566651351857,37.101487150191815,8139.238797765676,8543.699583718464,,8324.04514821614,353.11513742616813,61.9098180351578,6.876523548779728,25.165752838683943,8715.210915840002,
2019-10-20,42,7947.78,8300.5,7871.17,8218.23,78663.915,0,8084.419999999999,7946.35,8300.5,7871.17,35.450997653696334,-272.16021457578427,-313.3573750233054,41.19716044752113,8129.271743626462,8514.068642833403,,8301.22370552889,358.55905618144186,60.26723862816262,10.118270276354343,23.009522128966633,8679.082479206401,
2019-10-21,43,8218.23,8334.57,8150.0,8201.74,59928.516,0,8226.135,8083.004999999999,8334.57,8083.004999999999,41.98589527420068,-246.47566814890342,-299.981033648425,53.50536549952159,8146.883244785287,8495.492278779635,,8294.072400240424,350.9166235970532,58.52741057622523,10.293947333708061,21.829287054460075,8644.399180038145,
2019-10-22,44,8201.0,8290.0,8000.0,8020.89,69506.88,0,8127.9725,8209.985,8290.0,8000.0,39.03775236846916,-231.37423527144347,-286.2596739730287,54.88543870158526,8143.444927551598,8471.781325309981,,8278.253362122288,346.5654361972637,57.15765338803477,9.677686015266584,22.235966931924366,8611.103212836619,
2019-10-23,45,8020.68,8047.78,7172.76,7465.0,108484.139,0,7676.555,8110.945,8110.945,7172.76,28.96520731585568,-252.91639771478367,-279.5910187213797,26.674621006596055,8058.555849814944,8420.476401096435,,8220.94875620588,390.0402264688877,57.46950381715279,7.982528282063317,33.510542057548804,8579.139084323155,
2019-10-24,46,7465.18,7495.81,7337.44,7411.35,66719.534,0,7427.445,7742.84,7742.84,7337.44,25.114224045990596,-286.78394495427074,-281.02960396795794,-5.754340986312798,7943.808422575863,8356.409859090214,,8145.376969900558,391.1373531496815,57.75907921561953,7.390830097308283,31.02660135543285,8494.756339263766,
2019-10-25,47,7410.07,8800.0,7359.0,8650.0,165118.926,0,8054.7675,7438.265,8800.0,7359.0,44.95965466291088,-260.00733444441903,-276.82515006325013,16.817815618831105,7963.982800289343,8336.949061729556,,8136.747496576696,466.12754221041854,53.973436896646255,21.972494368675065,24.168863007400876,7172.76,
2019-10-26,48,8650.0,10408.48,8626.89,9232.22,248161.161,0,9229.3975,8030.035,10408.48,8030.035,64.1287785764284,-142.36278393733392,-249.93267683806693,107.56989290073301,8194.058200236734,8394.52638032765,,8240.80940166463,602.7216463382457,52.512520284705325,34.85006359088936,17.351712705589797,7205.3048,
2019-10-27,49,9234.75,9803.83,9066.07,9533.32,163544.019,0,9409.4925,8941.11,9803.83,8941.11,66.0793868379082,-34.202206942467456,-206.78658285894704,172.5843759164796,8415.046254739145,8460.008065467802,,8352.112553887046,621.2929573140854,51.1559548593316,31.39132504774652,15.62962007962242,7333.431808,
2019-10-28,50,9534.37,9930.13,9156.03,9217.36,155599.975,1,9459.4725,9384.035,9930.13,9156.03,66.62184408181636,54.91576314687154,-154.44611365778334,209.36187680465488,8604.941935695664,8524.489641889235,,8457.575405897804,632.2077460773647,50.049213672373085,30.07206875566859,14.261882161582177,7456.433735680001,long
2019-10-29,51,9215.78,9569.1,9070.0,9415.02,124703.014,0,9317.475,9375.865000000002,9569.1,9070.0,63.51412831667175,112.78427802430997,-101.00003532136469,213.78431334567466,8734.493401932816,8575.6499875738,,8539.470605336108,622.7000499289816,48.79788830837522,28.349505648086414,14.432301901361665,7574.515586252801,
