datetime,close,high,low,open,signals
2020-12-10 06:00:00,563.64,566.19,559.69,564.19,1.0
2020-12-10 08:00:00,558.12,569.27,557.59,563.64,1.0
2020-12-10 10:00:00,555.32,560.94,552.41,558.17,1.0
2020-12-10 12:00:00,561.43,561.63,551.05,555.31,1.0
2020-12-10 14:00:00,557.81,563.26,548.52,561.44,1.0
2020-12-10 16:00:00,559.23,561.92,555.19,557.81,1.0
2020-12-10 18:00:00,565.93,566.25,558.61,559.28,1.0
2020-12-10 20:00:00,564.22,569.0,562.6,565.97,1.0
2020-12-10 22:00:00,559.71,565.43,558.08,564.22,1.0
2020-12-11 00:00:00,546.43,561.37,541.8,559.69,1.0
2020-12-11 02:00:00,547.61,548.98,540.51,546.41,1.0
2020-12-11 04:00:00,545.07,549.33,542.26,547.6,1.0
2020-12-11 06:00:00,541.56,546.73,533.11,545.07,1.0
2020-12-11 08:00:00,541.68,548.53,538.5,541.59,1.0
2020-12-11 10:00:00,539.1,546.49,536.3,541.67,1.0
2020-12-11 12:00:00,549.76,550.77,537.13,539.1,1.0
2020-12-11 14:00:00,554.22,554.87,548.23,549.76,1.0
2020-12-11 16:00:00,545.22,554.48,543.2,554.23,1.0
2020-12-11 18:00:00,546.55,551.31,543.58,545.32,1.0
2020-12-11 20:00:00,549.8,550.0,544.49,546.59,1.0
2020-12-11 22:00:00,544.74,552.31,544.0,549.8,1.0
2020-12-12 00:00:00,552.93,557.59,543.34,544.8,1.0
2020-12-12 02:00:00,554.5,557.75,552.83,552.92,1.0
2020-12-12 04:00:00,556.75,561.02,553.64,554.47,1.0
2020-12-12 06:00:00,558.86,560.0,555.0,556.74,1.0
2020-12-12 08:00:00,556.44,560.73,555.35,558.82,1.0
2020-12-12 10:00:00,559.38,559.47,554.0,556.44,1.0
2020-12-12 12:00:00,555.71,560.3,555.26,559.38,1.0
2020-12-12 14:00:00,554.38,557.19,551.39,555.72,1.0
2020-12-12 16:00:00,556.36,557.25,551.66,554.38,1.0
2020-12-12 18:00:00,568.88,569.87,556.33,556.33,1.0
2020-12-12 20:00:00,570.03,572.76,566.3,568.87,1.0
2020-12-12 22:00:00,568.34,574.0,567.0,570.03,1.0
2020-12-13 00:00:00,566.1,569.86,563.91,568.3,1.0
2020-12-13 02:00:00,565.5,567.91,563.11,566.11,1.0
2020-12-13 04:00:00,569.25,571.99,564.2,565.51,1.0
2020-12-13 06:00:00,579.23,580.0,569.14,569.26,1.0
2020-12-13 08:00:00,583.63,585.58,577.45,579.3,1.0
2020-12-16 22:00:00,637.8,640.47,627.91,629.87,1.0
2020-12-20 20:00:00,632.53,659.0,628.0,650.78,-1.0
2020-12-21 16:00:00,604.82,619.88,603.33,614.5,1.0
2020-12-21 18:00:00,611.84,614.28,602.0,604.83,1.0
2020-12-21 20:00:00,618.8,619.0,608.6,611.98,1.0
2020-12-21 22:00:00,608.18,618.98,607.4,618.8,1.0
2020-12-22 00:00:00,605.19,614.32,602.24,608.24,1.0
